id,label,description
1,2,"Reservation desk and General Manager Billy is incompetent. They are so rude, unprofessional and lie right to your face. There is a reason why they only allow you to make reservations on their website and you must pre-pay. When you miss your reservation due to emergency they just keep your money and... do not allow you to reserve another date unless you pay again. When I spoke to Billy the General Manager after speaking to the reservation manager, i felt like they were using a script. Very cold, very poor customer service, would never consider them again. They don’t care if you are a regular or if you have been there multiple times, means nothing. It's sad that the ownership allows incompetent people to handle their reservations. I would like an apology and would like a full refund!"
2,3,"I ordered an egg sandwich, which was not advertised by quantity of egg or additional items, but for $5 you would expect something that is more substantial than DRY Roll served with the worlds FLATTEST egg and you can’t even be sure it was 1 whole egg since it was scrambled and assembled behind the... counter. Prior to paying for my sandwich I wanted to check they put what i had asked, which they didn’t, instead of ham i received bacon, which equated to 1 slice since they only added half a slice per half of the sandwich. When they fixed my meal, what I saw was further disappointment where the slice could not even reach either end of the bread."
3,3,"I have called the business due to some complaints regarding drink issues and service issues. I have asked for refunds and they refused to do so and they never give me a reason. I have been very disappointed with this type of service I wish to have them give me a refund on all the times that I have... come to there business and there customer service is not very good they accuse you of asking for a ""Hand Out"" and I am very dissatisfied with this."
4,3,"Spent over an hour and a half yesterday 4 separate phone calls, over $20 never added to my card account. Spoke to candy of many reps each promising me a supervisor but got nothing. Called again today again, 10 minutes hold and nothing. HORRIBLE CUSTOMER SERVICE!"
5,3,"Customers earn free beverage/food rewards (1 star for every purchase). 12 stars, & you earn a Reward. These appear in their iPhone application, along with an expiration date. Rewards are good ON the expiration date. However, when the expiration rolls around, customers notice that their Reward... has magically disappeared before it was set to expire. This happened twice to me, and two mangers at my store (West Hollywood) were mystified and told me to report it to customer service. (it happened for the 2nd time today, 2/24). The first time,, the manager was apologetic and mystified. The second time, I spoke with the same manager, as well as a 2nd one. ""That isn't supposed to happen. Call customer service. Both times, they were apologetic & offered me a free drink as compensation. Fast forward to today 2/24, with it happening again. Call customer service. I called, but the rep said ""oh that's just the way the system is. She didn't care. I suggested they fix it. Nope. She said the reward was actually still there, but customer have to know to ASK for it. So if the customer doesn't know, they just see that it's disappeared & probably just walk away, not know they have to ASK special for it. By this time, I was speaking with a manager. How could they not want to fix it. Nope, nothing to fix., ""that's just the way it is,"" ""Nothing wrong. She said that managers KNOW about this. As on 1/16, and 2/24, they obviously don' ***** a big secret to the customers and I suspect that customers are just walking away from it. Then the manager said, oh they actually expire on the expiration date AT 2:30AM. So it literally expires the day BEFORE the expiration date? I pointed out that it felt like customers were being ripped off. They had to ASK for it, AND they fall off at 2am on the expiration date BEFORE they even open for business that day. The manager still wasn't interested. ""That's just the way it is."" Having been a customer since 1998, I hung up in disgust. Nice company."
6,3,"I have been a loyal customer of Starbucks for the past years, I have time and again received excellent service at Starbucks which is one of the main reasons I get my coffee there. I normally visit this Starbucks location regularly before going to work in the morning. The customer service, speed, and... coffee have been great. However, to my surprise everything changed on Thursday, 1/14/16 at 6:44am. I placed my order on the drive-threw and ordered a Venti White Mocha Frap with a Banana Nut Bread. My order was repeated again by the male employee before driving away to the window. When I arrived at the window, I was charged $7.50 then a few minutes later I get handed a Grande White Mocha Frap. I got very upset and told the employee that I ordered a VENTI not GRANDE. I noticed that one of the other male employees started laughing because my order was wrong. If I would’ve waited for my drink to be made again, I would’ve been late to work. I then, asked for my money back and that even took long. I'm very disappointed and disgusted with the way the two male employees representative Starbucks. Both were very rude, unprofessional and showed no sense of urgency. Not once did I receive an apology for the inconvenience. Very bad bossiness. Product_Or_Service."
7,3,"I want to share a negative experience about Starbucks located in County Road 220 Fleming Island, FL. The staff named Nisa was very rude to me. We had been waiting for our beverage for awhile on our table because we ordered pastry. I went up to check at the register and she said our drinks had been sitting there and that she already called us. Unfortunately, we did not hear our names called. We were sitting on the table closest to the register and she was aware our drinks had been sitting there and she knew where we were sitting yet she did not come over or called us. She also seemed upset and felt like I was interrupting with her work. I just wanted an apology instead I got a lecture about their Starbucks procedure that were responsible for getting our orders when our name was called and that she never once had to walk out and call the customers. It was our first time at that location and sadly our last. The manager Chelsea was there while Nisa was arguing with me and seemed to have no control of this employee. The manager however refunded our money and apologized. Nisa however walked out to the back room. I have contacted their district manager named Ralph M***** thru email but have not heard back yet. We dont like businesses like this in our neighborhood."
8,3,"At the Starbucks at 6365 Dobbin Rd in Columbia, one of two bathrooms have been out of service for about two months. This is unreasonably long. Doesn't Starbucks have a contractor/plumber who can repair the bathrooms in a reasonable time. People study and sit and drink beverages for a long time and may need to go to the 2nd bathroom if one is tied up. A secondary complaint is that this Starbucks has lot of flies in the place. Sometimes I have to leave and go home because of this."
9,3,"I went through the drive-thru may 5, 2017 at 05:30 and purchased a grande vanilla latte. The lady confirmed my order, confirmed the price of 4.15$. She ran my card and asked if I wanted a receipt. She didn't make eye contact and her voice wavered and I said yes, please. I would love a receipt. She fumbled around for a bit and then said there was a problem with her computer. She called the manager and I discovered she had charged me for a more expensive drink hoping I wouldn't need a receipt. They had to veto the charge and run my card again. Something shady is happening at this location and it's not okay."
10,3,"To whom it may concern: My Starbucks Gold reward card was lost, and I reported it online immediately. On September 26, 2016, I got an email confirmation from Starbucks with Order Number. I called twice regarding my replacement card and last week when I called, the representative told me that it should be ready to ship out in a couple of days. Today, Oct. 18, 2016, I called again, and another representative told me a different story. She said the card will not be ready for another two weeks due to the backup problem. I can not imagine getting a replacement card could be so difficult. I am really disappointed how Starbucks treat their customers."
