,Unnamed: 0,Unnamed: 0.1,class,text,forum
0,0,1,2,"Reservation desk and General Manager Billy is incompetent. They are so rude, unprofessional and lie right to your face. There is a reason why they only allow you to make reservations on their website and you must pre-pay. When you miss your reservation due to emergency they just keep your money and...Â do not allow you to reserve another date unless you pay again. When I spoke to Billy the General Manager after speaking to the reservation manager, i felt like they were using a script. Very cold, very poor customer service, would never consider them again. They donÂ’t care if you are a regular or if you have been there multiple times, means nothing. It's sad that the ownership allows incompetent people to handle their reservations. I would like an apology and would like a full refund!",1
1,1,2,0,"I ordered an egg sandwich, which was not advertised by quantity of egg or additional items, but for $5 you would expect something that is more substantial than DRY Roll served with the worlds FLATTEST egg and you canÂ’t even be sure it was 1 whole egg since it was scrambled and assembled behind the...Â counter. Prior to paying for my sandwich I wanted to check they put what i had asked, which they didnÂ’t, instead of ham i received bacon, which equated to 1 slice since they only added half a slice per half of the sandwich. When they fixed my meal, what I saw was further disappointment where the slice could not even reach either end of the bread.",1
2,2,3,0,"I have called the business due to some complaints regarding drink issues and service issues. I have asked for refunds and they refused to do so and they never give me a reason. I have been very disappointed with this type of service I wish to have them give me a refund on all the times that I have...Â come to there business and there customer service is not very good they accuse you of asking for a ""Hand Out"" and I am very dissatisfied with this.",1
3,3,4,0,"Spent over an hour and a half yesterday 4 separate phone calls, over $20 never added to my card account. Spoke to candy of many reps each promising me a supervisor but got nothing. Called again today again, 10 minutes hold and nothing. HORRIBLE CUSTOMER SERVICE!",1
4,4,5,0,"Customers earn free beverage/food rewards (1 star for every purchase). 12 stars, & you earn a Reward. These appear in their iPhone application, along with an expiration date. Rewards are good ON the expiration date. However, when the expiration rolls around, customers notice that their Reward...Â has magically disappeared before it was set to expire. This happened twice to me, and two mangers at my store (West Hollywood) were mystified and told me to report it to customer service. (it happened for the 2nd time today, 2/24). The first time,, the manager was apologetic and mystified. The second time, I spoke with the same manager, as well as a 2nd one. ""That isn't supposed to happen. Call customer service. Both times, they were apologetic & offered me a free drink as compensation. Fast forward to today 2/24, with it happening again. Call customer service. I called, but the rep said ""oh that's just the way the system is. She didn't care. I suggested they fix it. Nope. She said the reward was actually still there, but customer have to know to ASK for it. So if the customer doesn't know, they just see that it's disappeared & probably just walk away, not know they have to ASK special for it. By this time, I was speaking with a manager. How could they not want to fix it. Nope, nothing to fix., ""that's just the way it is,"" ""Nothing wrong. She said that managers KNOW about this. As on 1/16, and 2/24, they obviously don' ***** a big secret to the customers and I suspect that customers are just walking away from it. Then the manager said, oh they actually expire on the expiration date AT 2:30AM. So it literally expires the day BEFORE the expiration date? I pointed out that it felt like customers were being ripped off. They had to ASK for it, AND they fall off at 2am on the expiration date BEFORE they even open for business that day. The manager still wasn't interested. ""That's just the way it is."" Having been a customer since 1998, I hung up in disgust. Nice company.",1
5,5,6,0,"I have been a loyal customer of Starbucks for the past years, I have time and again received excellent service at Starbucks which is one of the main reasons I get my coffee there. I normally visit this Starbucks location regularly before going to work in the morning. The customer service, speed, and...Â coffee have been great. However, to my surprise everything changed on Thursday, 1/14/16 at 6:44am. I placed my order on the drive-threw and ordered a Venti White Mocha Frap with a Banana Nut Bread. My order was repeated again by the male employee before driving away to the window. When I arrived at the window, I was charged $7.50 then a few minutes later I get handed a Grande White Mocha Frap. I got very upset and told the employee that I ordered a VENTI not GRANDE. I noticed that one of the other male employees started laughing because my order was wrong. If I wouldÂ’ve waited for my drink to be made again, I wouldÂ’ve been late to work. I then, asked for my money back and that even took long. I'm very disappointed and disgusted with the way the two male employees representative Starbucks. Both were very rude, unprofessional and showed no sense of urgency. Not once did I receive an apology for the inconvenience. Very bad bossiness. Product_Or_Service.",1
6,7,8,0,"At the Starbucks at 6365 Dobbin Rd in Columbia, one of two bathrooms have been out of service for about two months. This is unreasonably long. Doesn't Starbucks have a contractor/plumber who can repair the bathrooms in a reasonable time. People study and sit and drink beverages for a long time and may need to go to the 2nd bathroom if one is tied up. A secondary complaint is that this Starbucks has lot of flies in the place. Sometimes I have to leave and go home because of this.",1
7,8,9,0,"I went through the drive-thru may 5, 2017 at 05:30 and purchased a grande vanilla latte. The lady confirmed my order, confirmed the price of 4.15$. She ran my card and asked if I wanted a receipt. She didn't make eye contact and her voice wavered and I said yes, please. I would love a receipt. She fumbled around for a bit and then said there was a problem with her computer. She called the manager and I discovered she had charged me for a more expensive drink hoping I wouldn't need a receipt. They had to veto the charge and run my card again. Something shady is happening at this location and it's not okay.",1
8,10,11,0,"I am a long time customer of Hanna building Starbucks location and the experience I had today, much like most days was absolutely horrible. I waited in line as usual but when I got up to the register I witnessed the manager "" Jen "" be so rude to two customers. I believe both customers where homeless but had money for coffee. One of the gentlemen bought his coffee and another wanted some water. Jen began to yell very loud at the man that requested water telling him NO! The man just stood and looked at her and asked her why he couldnÂ’t have water. Her response was please leave. When I approached the register to buy my coffee I asked the young lady ringing me up why that gentleman wasn't allowed to have water? she responded with we aren't allowed to give out water. I asked her kindly if I could buy him a cup of water because it was very hot outside she said she couldn't not do so. This young lady looked scared to answer me, and furthermore afraid to help the customer. My problem with this location is the manger! she is nasty and extremely rude to her staff and customers. I have to say as a women of color I feel she picks on African American customers and staff which makes me uncomfortable coming to this location. I have called the cooperate office but nothing seems to change, in fact I see a new face every time I am at that location. I will no longer visit that location based on the way ""Jen "" speakers to her staff. It's a shame because I truly enjoy the staff they are friendly and fast. This lady's behavior is rude and unacceptable and I will no longer shop at this location.",1
9,11,12,2,"I tried the Daily Harvest Subscription Service in September 2017 and was convinced I canceled my subscription right then. Apparently, I only put my orders on hold and found out this morning I was charged $48 for a delivery I did not authorize or asked for. I called the company and was told I didn't...Â skip so, therefore, they processed my order. I asked the customer service lady to cancel my order and refund me and she said she can not do this. I asked her why they don't let customers know about an upcoming order and she said they don't offer that service. I do not want this $48 box of smoothies. I still have 4 from the previous my freezer and do not like them at all) The company does not seem to have any interest in good customer service. At this point, I am considering refusing the shipment.",1
